DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN.x,ING,REC,CAR,SEC,I_HOGAR
7901925,1,1,1,1,0,0,1,80000
7847122,1,1,1,1,0,0,1,745000
7828842,1,1,1,1,0,0,0,290000
7846947,1,1,1,1,0,0,0,1666666.6667
7864031,1,1,1,1,0,0,1,900000
7857348,1,1,1,1,0,0,1,1047500
7792255,1,1,1,1,0,0,1,1586666.6667
7836877,1,1,1,1,0,0,1,100000
7840793,1,1,1,1,0,0,1,630000
7834331,1,1,1,1,1,0,0,4068333.3333
7820394,1,1,1,1,0,0,0,198333.33333
7793561,1,1,1,1,0,0,1,1651666.6667
7840032,1,1,1,1,0,0,1,1373333.3333
7839834,1,1,1,1,0,0,1,1100000
7808046,1,1,1,1,0,0,1,610000
7807701,1,1,1,1,0,0,1,555833.33333
7856564,1,1,1,1,0,0,1,720000
7817059,1,1,1,1,0,0,1,796666.66667
7812705,1,1,1,1,0,0,1,1000000
7841519,1,1,1,1,0,0,0,406666.66667
7820903,1,1,1,1,1,0,1,2048000
7792587,1,1,1,1,0,0,1,1506666.6667
7812938,1,1,1,1,0,0,1,737500
7847320,1,1,1,1,0,0,1,1100000
7847836,1,1,1,1,0,0,1,700000
7844755,1,1,1,1,0,0,1,90000
7825964,1,1,1,1,0,0,1,362500
7840963,1,1,1,1,0,0,1,800000
7811741,1,1,1,1,0,0,1,2670000
7841340,1,1,1,1,1,0,0,3008333.3333
7892769,1,1,1,1,0,0,1,183000
7854341,1,1,1,1,0,0,1,745000
7790239,1,1,1,1,0,0,1,550000
7802485,1,1,1,1,0,0,1,500000
7796943,1,1,1,1,0,0,1,1737500
7804834,1,1,1,1,0,0,1,900000
7828438,1,1,1,1,0,0,0,1341666.6667
7900840,1,1,1,1,1,0,1,215000
7879352,1,1,1,1,0,0,1,500000
7898639,1,1,1,1,0,0,1,1000000
7871198,1,1,1,1,0,0,1,1733838.6667
7845192,1,1,1,1,0,0,1,1750000
7853937,1,1,1,1,0,0,1,2000000
7813400,1,1,1,1,0,0,0,1200000
7877587,1,1,1,1,0,0,0,1900000
7811987,1,1,1,1,0,0,1,1303333.3333
7843810,1,1,1,1,0,0,1,575000
7879858,1,1,1,1,0,0,1,110000
7817316,1,1,1,1,0,0,1,1700000
7855960,1,1,1,1,0,0,1,100000
7884173,1,1,1,1,0,0,0,1050000
7898382,1,1,1,1,0,0,1,2053333.3333
7856697,1,1,1,1,0,0,1,466666.66667
7799132,1,1,1,1,0,0,0,1300000
7802071,1,1,1,1,0,0,0,310000
7906992,1,1,1,1,0,0,0,430000
7876088,1,1,1,1,0,0,1,400000
7893681,1,1,1,1,0,0,1,1500000
7841462,1,1,1,1,0,0,1,1850000
7875378,1,1,1,1,0,0,1,650000
7866847,1,1,1,1,0,0,1,300000
7871377,1,1,1,1,1,0,1,1256666.6667
7886247,1,1,1,1,0,0,1,900000
7877247,1,1,1,1,0,0,1,550000
7872519,1,1,1,1,0,0,0,960000
7851635,1,1,1,1,0,0,1,65000
7871357,1,1,1,1,1,0,1,1483333.3333
7883225,1,1,1,1,0,0,1,1450000
7907852,1,1,1,1,0,0,1,1000000
7797092,1,1,1,1,1,0,1,125000
7861870,1,1,1,1,0,0,1,1450000
7808722,1,1,1,1,1,0,1,380000
